"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Marília (SP)","SP","140","212.891","65,8"
"Camacho (MG)","MG","2","3.042","65,7"
"Bocaiúva (MG)","MG","30","45.632","65,7"
"Capitão Poço (PA)","PA","34","51.720","65,7"
"Poço das Trincheiras (AL)","AL","9","13.694","65,7"
"São Lourenço da Serra (SP)","SP","9","13.703","65,7"
"Nova Lima (MG)","MG","52","79.227","65,6"
"Santarém Novo (PA)","PA","4","6.097","65,6"
"Extremoz (RN)","RN","16","24.390","65,6"
"São Bento (PB)","PB","20","30.502","65,6"
"Jacareí (SP)","SP","136","207.474","65,6"
"Campo Grande (AL)","AL","6","9.160","65,5"
"Monte Formoso (MG)","MG","3","4.582","65,5"
"Cruz das Almas (BA)","BA","38","58.076","65,4"
"Muçum (RS)","RS","3","4.586","65,4"
"Mairiporã (SP)","SP","52","79.491","65,4"
"Morrinhos do Sul (RS)","RS","2","3.062","65,3"
"Batayporã (MS)","MS","7","10.721","65,3"
"Porto Ferreira (SP)","SP","33","50.587","65,2"
"Combinado (TO)","TO","3","4.601","65,2"
"Salitre (CE)","CE","10","15.342","65,2"
"Itarumã (GO)","GO","4","6.140","65,1"
"Itabirito (MG)","MG","29","44.519","65,1"
"Rafael Fernandes (RN)","RN","3","4.615","65,0"
"Mombaça (CE)","CE","27","41.541","65,0"
"Maria da Fé (MG)","MG","9","13.851","65,0"
"Tupirama (TO)","TO","1","1.539","65,0"
"Afonso Bezerra (RN)","RN","7","10.781","64,9"
"Palestina (SP)","SP","7","10.786","64,9"
"Tupãssi (PR)","PR","5","7.707","64,9"
"Esmeraldas (MG)","MG","38","58.591","64,9"
"Cabrobó (PE)","PE","20","30.839","64,9"
"Vila Flores (RS)","RS","2","3.086","64,8"
"Ribeirão Pires (SP)","SP","72","111.123","64,8"
"Ouro Branco (AL)","AL","7","10.804","64,8"
"Tombos (MG)","MG","6","9.266","64,8"
"Mata Verde (MG)","MG","5","7.729","64,7"
"Gurjão (PB)","PB","2","3.093","64,7"
"São Martinho (SC)","SC","2","3.093","64,7"
"Rio Verde de Mato Grosso (MS)","MS","12","18.561","64,7"
"Tanque d'Arca (AL)","AL","4","6.193","64,6"
"Rafael Jambeiro (BA)","BA","14","21.682","64,6"
"Nazareno (MG)","MG","5","7.745","64,6"
"Recife (PE)","PE","981","1.519.825","64,5"
"Porto Feliz (SP)","SP","31","48.068","64,5"
"Guamiranga (PR)","PR","5","7.754","64,5"
"Piracema (MG)","MG","4","6.209","64,4"
"Bayeux (PB)","PB","59","91.603","64,4"
"São José dos Quatro Marcos (MT)","MT","12","18.636","64,4"
"Américo Brasiliense (SP)","SP","22","34.168","64,4"
"Piaçabuçu (AL)","AL","11","17.094","64,4"
"Cabo de Santo Agostinho (PE)","PE","118","183.593","64,3"
"Cachoeirinha (PE)","PE","12","18.698","64,2"
"Boa Hora (PI)","PI","4","6.234","64,2"
"Vale Verde (RS)","RS","2","3.119","64,1"
"Igarapé do Meio (MA)","MA","8","12.483","64,1"
"São Lourenço (MG)","MG","26","40.573","64,1"
"Santa Rita (MA)","MA","21","32.799","64,0"
"Jaboticabal (SP)","SP","45","70.288","64,0"
"João Alfredo (PE)","PE","19","29.688","64,0"
"Garça (SP)","SP","27","42.189","64,0"
"Lagoinha (SP)","SP","3","4.694","63,9"
"Vargem Bonita (SC)","SC","3","4.701","63,8"
"Alto Paraíso (PR)","PR","2","3.135","63,8"
"Pato Bragado (PR)","PR","3","4.703","63,8"
"Cruzeta (RN)","RN","5","7.840","63,8"
"São Miguel das Matas (BA)","BA","7","10.979","63,8"
"Independência (CE)","CE","16","25.095","63,8"
"Coronel João Pessoa (RN)","RN","3","4.706","63,7"
"Tejupá (SP)","SP","3","4.707","63,7"
"Icó (CE)","CE","41","64.337","63,7"
"Ibiraçu (ES)","ES","7","10.990","63,7"
"Constantina (RS)","RS","6","9.423","63,7"
"Ivaí (PR)","PR","8","12.572","63,6"
"Imbé de Minas (MG)","MG","4","6.289","63,6"
"Pratinha (MG)","MG","2","3.146","63,6"
"Ocara (CE)","CE","15","23.609","63,5"
"Desterro (PB)","PB","5","7.876","63,5"
"Ceará-Mirim (RN)","RN","43","67.746","63,5"
"Itaporanga (SP)","SP","9","14.193","63,4"
"Medianeira (PR)","PR","26","41.021","63,4"
"São Sebastião do Umbuzeiro (PB)","PB","2","3.157","63,4"
"Presidente Médici (MA)","MA","4","6.315","63,3"
"Plácido de Castro (AC)","AC","11","17.367","63,3"
"Luís Gomes (RN)","RN","6","9.481","63,3"
"Praia Grande (SP)","SP","163","257.694","63,3"
"Rio Verde (GO)","GO","110","174.077","63,2"
"Guarujá do Sul (SC)","SC","3","4.749","63,2"
"Barrocas (BA)","BA","9","14.273","63,1"
"Brazabrantes (GO)","GO","2","3.172","63,1"
"Juruena (MT)","MT","7","11.105","63,0"
"Valinhos (SP)","SP","66","104.735","63,0"
"Mallet (PR)","PR","8","12.699","63,0"
"Lagoa de São Francisco (PI)","PI","4","6.357","62,9"
"Miraguaí (RS)","RS","3","4.769","62,9"
"Condado (PB)","PB","4","6.359","62,9"
"Moju (PA)","PA","44","69.967","62,9"
"Tutóia (MA)","MA","33","52.480","62,9"
"Lagoa do Sítio (PI)","PI","3","4.775","62,8"
"Gentil (RS)","RS","1","1.594","62,7"
"São Lourenço da Mata (PE)","PE","64","102.026","62,7"
"Águas Belas (PE)","PE","25","39.854","62,7"
"Ervália (MG)","MG","11","17.540","62,7"
"Alambari (SP)","SP","3","4.786","62,7"
"Bom Jesus da Lapa (BA)","BA","39","62.248","62,7"
"São Pedro da União (MG)","MG","3","4.794","62,6"
"Divinópolis de Goiás (GO)","GO","3","4.795","62,6"
"Videira (SC)","SC","29","46.369","62,5"
"Botelhos (MG)","MG","9","14.414","62,4"
"Ipueiras (TO)","TO","1","1.602","62,4"
"Guarda-Mor (MG)","MG","4","6.413","62,4"
"Centro do Guilherme (MA)","MA","7","11.226","62,4"
"Bujaru (PA)","PA","16","25.665","62,3"
"Juru (PB)","PB","6","9.626","62,3"
"Belo Monte (AL)","AL","4","6.419","62,3"
"São José do Jacuri (MG)","MG","4","6.423","62,3"
"Pinhalzinho (SC)","SC","10","16.059","62,3"
"Santa Luzia do Itanhy (SE)","SE","8","12.848","62,3"
"Lima Campos (MA)","MA","7","11.246","62,2"
"Barra de Guabiraba (PE)","PE","8","12.853","62,2"
"Dias d'Ávila (BA)","BA","41","65.903","62,2"
"Comendador Levy Gasparian (RJ)","RJ","5","8.037","62,2"
"Jaú (SP)","SP","80","128.605","62,2"
"Reduto (MG)","MG","4","6.433","62,2"
"Morro do Chapéu do Piauí (PI)","PI","4","6.433","62,2"
"Araruama (RJ)","RJ","68","109.400","62,2"
"Peritoró (MA)","MA","13","20.938","62,1"
"Cubatão (SP)","SP","73","117.595","62,1"
"Santo Amaro da Imperatriz (SC)","SC","12","19.334","62,1"
"Apuí (AM)","AM","11","17.738","62,0"
"Nova Roma do Sul (RS)","RS","2","3.226","62,0"
"Chuvisca (RS)","RS","3","4.840","62,0"
"Maracaju (MS)","MS","23","37.111","62,0"
"Santo Amaro das Brotas (SE)","SE","7","11.297","62,0"
"Brusque (SC)","SC","64","103.342","61,9"
"Alto Jequitibá (MG)","MG","5","8.075","61,9"
"Caçador (SC)","SC","43","69.448","61,9"
"Itaara (RS)","RS","3","4.846","61,9"
"São Pedro da Serra (RS)","RS","2","3.232","61,9"
"Mombuca (SP)","SP","2","3.234","61,8"
"Natividade da Serra (SP)","SP","4","6.473","61,8"
"Santo André (SP)","SP","410","663.492","61,8"
"Cedro (CE)","CE","15","24.287","61,8"
"Ibitiúra de Minas (MG)","MG","2","3.242","61,7"
"Nova Veneza (SC)","SC","8","12.968","61,7"
"Marcelino Vieira (RN)","RN","5","8.108","61,7"
"Guapimirim (RJ)","RJ","31","50.277","61,7"
"Restinga (SP)","SP","4","6.492","61,6"
"São Thomé das Letras (MG)","MG","4","6.495","61,6"
"Pérola d'Oeste (PR)","PR","4","6.504","61,5"
"Diamante (PB)","PB","4","6.512","61,4"
"Itapiranga (AM)","AM","5","8.143","61,4"
"Jandira (SP)","SP","66","107.608","61,3"
"Frei Lagonegro (MG)","MG","2","3.262","61,3"
"Couto Magalhães (TO)","TO","3","4.893","61,3"
"Alcântara (MA)","MA","13","21.204","61,3"
"São Cristóvão do Sul (SC)","SC","3","4.894","61,3"
"Jandaíra (RN)","RN","4","6.540","61,2"
"Nova Maringá (MT)","MT","4","6.542","61,1"
"Tangará da Serra (MT)","MT","51","83.424","61,1"
"Nicolau Vergueiro (RS)","RS","1","1.636","61,1"
"Lavras (MG)","MG","55","90.036","61,1"
"Braúnas (MG)","MG","3","4.913","61,1"
"Rosário (MA)","MA","24","39.311","61,1"
"Santa Margarida (MG)","MG","9","14.745","61,0"
"São Vicente (SP)","SP","200","327.865","61,0"
"Dirce Reis (SP)","SP","1","1.640","61,0"
"Pium (TO)","TO","4","6.561","61,0"
"Nova Laranjeiras (PR)","PR","7","11.486","60,9"
"Olho d'Água Grande (AL)","AL","3","4.925","60,9"
"Caiçara do Rio do Vento (RN)","RN","2","3.285","60,9"
"Seringueiras (RO)","RO","7","11.501","60,9"
"Reserva (PR)","PR","15","24.661","60,8"
"Iperó (SP)","SP","17","27.974","60,8"
"Itumbiara (GO)","GO","55","90.554","60,7"
"Piedade (SP)","SP","31","51.046","60,7"
"Nova Aurora (PR)","PR","7","11.530","60,7"
"Seara (SC)","SC","10","16.475","60,7"
"Cajati (SP)","SP","17","28.010","60,7"
"Santa Tereza (RS)","RS","1","1.648","60,7"
"Rio das Ostras (RJ)","RJ","63","103.886","60,6"
"General Carneiro (MT)","MT","3","4.947","60,6"
"Frederico Westphalen (RS)","RS","17","28.066","60,6"
"Iati (PE)","PE","11","18.185","60,5"
"Votuporanga (SP)","SP","50","82.728","60,4"
"Brumadinho (MG)","MG","20","33.115","60,4"
"Palmeirina (PE)","PE","5","8.284","60,4"
"Monte Carmelo (MG)","MG","27","44.739","60,4"
"Zé Doca (MA)","MA","29","48.080","60,3"
"Poço Verde (SE)","SE","13","21.560","60,3"
"Ilha das Flores (SE)","SE","5","8.296","60,3"
"Bragança (PA)","PA","68","112.874","60,2"
"Alvorada do Sul (PR)","PR","6","9.963","60,2"
"Mamanguape (PB)","PB","25","41.513","60,2"
"Novo Progresso (PA)","PA","15","24.912","60,2"
"Ituiutaba (MG)","MG","57","94.693","60,2"
"Alto Piquiri (PR)","PR","6","9.970","60,2"
"Vera Cruz (RS)","RS","14","23.294","60,1"
"Catuti (MG)","MG","3","4.993","60,1"
"Caxingó (PI)","PI","3","4.994","60,1"
"Santa Terezinha de Goiás (GO)","GO","6","10.004","60,0"
"Consolação (MG)","MG","1","1.668","60,0"
"Agricolândia (PI)","PI","3","5.008","59,9"
"Jequiá da Praia (AL)","AL","7","11.688","59,9"
"Bebedouro (SP)","SP","44","73.543","59,8"
"Macaé (RJ)","RJ","122","203.995","59,8"
"Aparecida do Taboado (MS)","MS","13","21.741","59,8"
"Santa Maria das Barreiras (PA)","PA","10","16.752","59,7"
"Campos Borges (RS)","RS","2","3.353","59,6"
"Pavão (MG)","MG","5","8.385","59,6"
"Conquista D'Oeste (MT)","MT","2","3.355","59,6"
"Cruzeiro da Fortaleza (MG)","MG","2","3.358","59,6"
"Tacima (PB)","PB","6","10.077","59,5"
"Felício dos Santos (MG)","MG","3","5.042","59,5"
"Urucânia (MG)","MG","6","10.085","59,5"
"Itapitanga (BA)","BA","6","10.110","59,3"
"Nova Luzitânia (SP)","SP","2","3.372","59,3"
"Palmópolis (MG)","MG","4","6.745","59,3"
"Turiaçu (MA)","MA","20","33.729","59,3"
"Nova Timboteua (PA)","PA","8","13.493","59,3"
"Guaraciaba (SC)","SC","6","10.121","59,3"
"Conceição dos Ouros (MG)","MG","6","10.132","59,2"
"Inhapim (MG)","MG","14","23.664","59,2"
"Paulínia (SP)","SP","48","81.157","59,1"
"Entre Folhas (MG)","MG","3","5.075","59,1"
"Iapu (MG)","MG","6","10.153","59,1"
"Coronel Fabriciano (MG)","MG","60","101.622","59,0"
"Angelina (SC)","SC","3","5.085","59,0"
"Caarapó (MS)","MS","15","25.445","59,0"
"Ampére (PR)","PR","10","16.967","58,9"
"Bonito (PA)","PA","8","13.575","58,9"
"Malhador (SE)","SE","7","11.880","58,9"
"Chapadão do Sul (MS)","MS","11","18.671","58,9"
"São Geraldo do Baixio (MG)","MG","2","3.395","58,9"
"Vila Valério (ES)","ES","8","13.589","58,9"
"Toritama (PE)","PE","21","35.674","58,9"
"Moiporá (GO)","GO","1","1.699","58,9"
"Meleiro (SC)","SC","4","6.797","58,8"
"Passabém (MG)","MG","1","1.700","58,8"
"Paraibuna (SP)","SP","10","17.009","58,8"
"São Luís (MA)","MA","593","1.008.753","58,8"
"Babaçulândia (TO)","TO","6","10.208","58,8"
"Rio Preto da Eva (AM)","AM","15","25.524","58,8"
"Taquarivaí (SP)","SP","3","5.105","58,8"
"Vista Alegre do Alto (SP)","SP","4","6.807","58,8"
"Camaragibe (PE)","PE","84","143.045","58,7"
"Gália (SP)","SP","4","6.815","58,7"
"Igarapé-Miri (PA)","PA","34","57.964","58,7"
"Senhora do Porto (MG)","MG","2","3.414","58,6"
"Brejinho de Nazaré (TO)","TO","3","5.122","58,6"
"Dionísio (MG)","MG","5","8.540","58,5"
"Monte Alegre do Piauí (PI)","PI","6","10.258","58,5"
"Limoeiro (PE)","PE","32","54.764","58,4"
"Treviso (SC)","SC","2","3.424","58,4"
"Aguiarnópolis (TO)","TO","3","5.139","58,4"
"Entre-Ijuís (RS)","RS","5","8.566","58,4"
"Costa Rica (MS)","MS","10","17.139","58,3"
"Cumaru do Norte (PA)","PA","6","10.294","58,3"
"Presidente Kennedy (ES)","ES","6","10.297","58,3"
"Antonina do Norte (CE)","CE","4","6.866","58,3"
"Sapucaia (RJ)","RJ","10","17.165","58,3"
"Seritinga (MG)","MG","1","1.717","58,2"
"Monte Alegre (RN)","RN","12","20.608","58,2"
"Aracruz (ES)","ES","47","80.800","58,2"
"Cromínia (GO)","GO","2","3.439","58,2"
"Galvão (SC)","SC","2","3.439","58,2"
"Cabreúva (SP)","SP","24","41.278","58,1"
"Santa Helena (MA)","MA","22","37.851","58,1"
"Olhos-d'Água (MG)","MG","3","5.162","58,1"
"Gilbués (PI)","PI","6","10.326","58,1"
"Piquete (SP)","SP","8","13.769","58,1"
"Nova Mamoré (RO)","RO","13","22.383","58,1"
"São Raimundo das Mangabeiras (MA)","MA","10","17.270","57,9"
"Candeal (BA)","BA","5","8.636","57,9"
"Alto Caparaó (MG)","MG","3","5.182","57,9"
"Santos (SP)","SP","237","409.546","57,9"
"Almirante Tamandaré (PR)","PR","59","101.978","57,9"
"Miranda do Norte (MA)","MA","14","24.200","57,9"
"Carinhanha (BA)","BA","16","27.694","57,8"
"Fortaleza dos Nogueiras (MA)","MA","7","12.119","57,8"
"Marilândia do Sul (PR)","PR","5","8.663","57,7"
"São Miguel do Tocantins (TO)","TO","6","10.397","57,7"
"São Sebastião do Passé (BA)","BA","24","41.607","57,7"
"Angra dos Reis (RJ)","RJ","96","166.432","57,7"
"Paraguaçu Paulista (SP)","SP","24","41.618","57,7"
"Garanhuns (PE)","PE","74","128.363","57,6"
"Cachoeira Paulista (SP)","SP","17","29.496","57,6"
"Formosa (GO)","GO","57","98.907","57,6"
"Itaúna (MG)","MG","48","83.424","57,5"
"Santo Antônio do Rio Abaixo (MG)","MG","1","1.738","57,5"
"Pirapozinho (SP)","SP","14","24.336","57,5"
"Palhano (CE)","CE","5","8.693","57,5"
"Bom Jesus do Araguaia (MT)","MT","3","5.216","57,5"
"Lagoa do Tocantins (TO)","TO","2","3.480","57,5"
"Centro Novo do Maranhão (MA)","MA","11","19.145","57,5"
"Romaria (MG)","MG","2","3.481","57,5"
"Cajazeiras (PB)","PB","33","57.438","57,5"
"Sítio do Mato (BA)","BA","7","12.188","57,4"
"Inhambupe (BA)","BA","20","34.826","57,4"
"Conceição das Alagoas (MG)","MG","13","22.639","57,4"
"Jucati (PE)","PE","6","10.459","57,4"
"Santana de Mangueira (PB)","PB","3","5.231","57,4"
"Navegantes (SC)","SC","34","59.307","57,3"
"Pontal (SP)","SP","23","40.144","57,3"
"Macieira (SC)","SC","1","1.748","57,2"
"Indiaroba (SE)","SE","9","15.732","57,2"
"Campo Magro (PR)","PR","14","24.484","57,2"
"Pedrinhas (SE)","SE","5","8.748","57,2"
"Chã de Alegria (PE)","PE","7","12.257","57,1"
"Matupá (MT)","MT","8","14.009","57,1"
"Barrolândia (TO)","TO","3","5.256","57,1"
"Paranaguá (PR)","PR","79","138.507","57,0"
"Janduís (RN)","RN","3","5.262","57,0"
"São João (PE)","PE","12","21.074","56,9"
"Aspásia (SP)","SP","1","1.758","56,9"
"Maracanaú (CE)","CE","118","207.474","56,9"
"Mansidão (BA)","BA","7","12.308","56,9"
"Jenipapo de Minas (MG)","MG","4","7.038","56,8"
"Nova Cruz (RN)","RN","20","35.193","56,8"
"Congonhas (MG)","MG","27","47.568","56,8"
"Floresta do Araguaia (PA)","PA","10","17.621","56,8"
"Concórdia do Pará (PA)","PA","16","28.200","56,7"
"Guimarânia (MG)","MG","4","7.052","56,7"
"Campinas do Sul (RS)","RS","3","5.291","56,7"
"Sarutaiá (SP)","SP","2","3.530","56,7"
"Goianá (MG)","MG","2","3.537","56,5"
"Belo Horizonte (MG)","MG","1.315","2.325.930","56,5"
"Quixadá (CE)","CE","45","79.632","56,5"
"Santa Maria do Suaçuí (MG)","MG","8","14.157","56,5"
"Caputira (MG)","MG","5","8.857","56,5"
"Caxias (MA)","MA","87","154.192","56,4"
"Irapuã (SP)","SP","4","7.090","56,4"
"Uiraúna (PB)","PB","8","14.184","56,4"
"Barrinha (SP)","SP","16","28.388","56,4"
"São Tomé (RN)","RN","6","10.659","56,3"
"Marituba (PA)","PA","61","108.411","56,3"
"Pedreira (SP)","SP","23","40.878","56,3"
"Santa Rita do Pardo (MS)","MS","4","7.126","56,1"
"José Bonifácio (SP)","SP","18","32.129","56,0"
"Paraguaçu (MG)","MG","11","19.653","56,0"
"São Gonçalo do Amarante (CE)","CE","24","42.913","55,9"
"Parari (PB)","PB","1","1.789","55,9"
"Teófilo Otoni (MG)","MG","74","132.400","55,9"
"Águas Lindas de Goiás (GO)","GO","89","159.260","55,9"
"Alto Rio Novo (ES)","ES","4","7.166","55,8"
"Acopiara (CE)","CE","28","50.198","55,8"
"Areia Branca (RN)","RN","14","25.106","55,8"
"Lucrécia (RN)","RN","2","3.588","55,7"
"Correntina (BA)","BA","17","30.554","55,6"
"Ituverava (SP)","SP","21","37.832","55,5"
"Pedra Azul (MG)","MG","13","23.425","55,5"
"Matutina (MG)","MG","2","3.604","55,5"
"Eldorado (SP)","SP","8","14.418","55,5"
"Ipupiara (BA)","BA","5","9.018","55,4"
"Garuva (SC)","SC","8","14.435","55,4"
"Alenquer (PA)","PA","29","52.412","55,3"
"Paraibano (MA)","MA","11","19.884","55,3"
"Pindoretama (CE)","CE","10","18.103","55,2"
"Palmares Paulista (SP)","SP","6","10.883","55,1"
"Igaratinga (MG)","MG","5","9.074","55,1"
"Feliz Natal (MT)","MT","6","10.897","55,1"
"Presidente Olegário (MG)","MG","10","18.166","55,0"
"Palmital (PR)","PR","8","14.533","55,0"
"São Pedro das Missões (RS)","RS","1","1.817","55,0"
"Tacaratu (PE)","PE","12","21.817","55,0"
"Glória (BA)","BA","8","14.556","55,0"
"Japi (RN)","RN","3","5.459","55,0"
"Dom Inocêncio (PI)","PI","5","9.099","55,0"
"Torrinha (SP)","SP","5","9.106","54,9"
"São Miguel do Aleixo (SE)","SE","2","3.644","54,9"
"Campo Alegre (AL)","AL","28","51.023","54,9"
"Bom Jesus do Sul (PR)","PR","2","3.648","54,8"
"Coqueiro Seco (AL)","AL","3","5.475","54,8"
"Sandovalina (SP)","SP","2","3.651","54,8"
"Ourilândia do Norte (PA)","PA","15","27.422","54,7"
"Colatina (ES)","ES","60","109.736","54,7"
"Pedra Branca (PB)","PB","2","3.658","54,7"
"Ribeirão das Neves (MG)","MG","160","292.808","54,6"
"Buri (SP)","SP","10","18.322","54,6"
"Aruanã (GO)","GO","4","7.342","54,5"
"Arês (RN)","RN","7","12.849","54,5"
"Altamira do Maranhão (MA)","MA","4","7.344","54,5"
"Montezuma (MG)","MG","4","7.344","54,5"
"Goioxim (PR)","PR","4","7.349","54,4"
"Aporá (BA)","BA","9","16.550","54,4"
"Aporé (GO)","GO","2","3.687","54,2"
"Juazeirinho (PB)","PB","9","16.594","54,2"
"Liberato Salzano (RS)","RS","3","5.536","54,2"
"Cariri do Tocantins (TO)","TO","2","3.698","54,1"
"Paratinga (BA)","BA","16","29.592","54,1"
"Imbuia (SC)","SC","3","5.551","54,0"
"Colinas (MA)","MA","21","38.876","54,0"
"Inaciolândia (GO)","GO","3","5.564","53,9"
"Abelardo Luz (SC)","SC","9","16.694","53,9"
"Ipiranga do Sul (RS)","RS","1","1.856","53,9"
"Hugo Napoleão (PI)","PI","2","3.714","53,9"
"Novo Cabrais (RS)","RS","2","3.714","53,9"
"Paranapuã (SP)","SP","2","3.714","53,9"
"Mirante do Paranapanema (SP)","SP","9","16.714","53,8"
"Paiçandu (PR)","PR","19","35.289","53,8"
"São José das Palmeiras (PR)","PR","2","3.715","53,8"
"Novo Horizonte do Norte (MT)","MT","2","3.716","53,8"
"Itarema (CE)","CE","20","37.166","53,8"
"Ladainha (MG)","MG","9","16.729","53,8"
"Novo Hamburgo (RS)","RS","126","234.243","53,8"
"Mangueirinha (PR)","PR","9","16.732","53,8"
"Cotia (SP)","SP","107","199.069","53,8"
"Montes Altos (MA)","MA","5","9.303","53,7"
"Vila Nova dos Martírios (MA)","MA","6","11.164","53,7"
"Major Isidoro (AL)","AL","10","18.609","53,7"
"Arroio do Sal (RS)","RS","4","7.446","53,7"
"Frutal (MG)","MG","28","52.153","53,7"
"Bom Jesus do Galho (MG)","MG","8","14.906","53,7"
"Bom Jesus do Tocantins (TO)","TO","2","3.728","53,6"
"Ibititá (BA)","BA","9","16.796","53,6"
"Olinda Nova do Maranhão (MA)","MA","7","13.073","53,5"
"Vespasiano Corrêa (RS)","RS","1","1.869","53,5"
"Eldorado do Sul (RS)","RS","18","33.671","53,5"
"Apiúna (SC)","SC","5","9.359","53,4"
"Irecê (BA)","BA","35","65.518","53,4"
"Mato Leitão (RS)","RS","2","3.746","53,4"
"São Francisco do Sul (SC)","SC","22","41.209","53,4"
"Guarantã do Norte (MT)","MT","17","31.902","53,3"
"Ilha Solteira (SP)","SP","13","24.422","53,2"
"Orocó (PE)","PE","7","13.153","53,2"
"Bom Jesus das Selvas (MA)","MA","15","28.206","53,2"
"Schroeder (SC)","SC","8","15.054","53,1"
"Diamantina (MG)","MG","24","45.234","53,1"
"Francisco Morato (SP)","SP","81","153.249","52,9"
"Capivari do Sul (RS)","RS","2","3.784","52,9"
"Novo Gama (GO)","GO","50","94.679","52,8"
"Capelinha (MG)","MG","18","34.086","52,8"
"Itaquaquecetuba (SP)","SP","169","320.248","52,8"
"Horizonte (CE)","CE","29","55.027","52,7"
"Barra do Corda (MA)","MA","43","81.620","52,7"
"Vanini (RS)","RS","1","1.899","52,7"
"Floriano Peixoto (RS)","RS","1","1.900","52,6"
"São Francisco do Oeste (RN)","RN","2","3.803","52,6"
"Amambai (MS)","MS","18","34.243","52,6"
"Mata de São João (BA)","BA","21","40.031","52,5"
"Doutor Ricardo (RS)","RS","1","1.907","52,4"
"Princesa Isabel (PB)","PB","11","20.979","52,4"
"Onda Verde (SP)","SP","2","3.820","52,4"
"Amélia Rodrigues (BA)","BA","13","24.831","52,4"
"Turmalina (SP)","SP","1","1.911","52,3"
"Areado (MG)","MG","7","13.380","52,3"
"Água Doce do Maranhão (MA)","MA","6","11.474","52,3"
"Presidente Figueiredo (AM)","AM","14","26.787","52,3"
"Itapirapuã Paulista (SP)","SP","2","3.827","52,3"
"Nova Santa Bárbara (PR)","PR","2","3.828","52,2"
"Serra Negra do Norte (RN)","RN","4","7.658","52,2"
"Chapada dos Guimarães (MT)","MT","10","19.146","52,2"
"Nova Olinda do Norte (AM)","AM","16","30.637","52,2"
"Japorã (MS)","MS","4","7.661","52,2"
"Nepomuceno (MG)","MG","13","24.914","52,2"
"Equador (RN)","RN","3","5.753","52,1"
"Nazário (GO)","GO","4","7.674","52,1"
"Santo Antônio do Planalto (RS)","RS","1","1.920","52,1"
"Salto do Céu (MT)","MT","2","3.843","52,0"
"Santa Branca (SP)","SP","7","13.456","52,0"
"São Gonçalo do Rio Abaixo (MG)","MG","5","9.613","52,0"
"Brejo Grande (SE)","SE","4","7.692","52,0"
"Alto Alegre do Maranhão (MA)","MA","13","25.010","52,0"
"Marques de Souza (RS)","RS","2","3.850","51,9"
"Santo Antônio do Jardim (SP)","SP","3","5.777","51,9"
"Guarani d'Oeste (SP)","SP","1","1.926","51,9"
"Iracema (CE)","CE","7","13.490","51,9"
"Cidelândia (MA)","MA","7","13.491","51,9"
"Tasso Fragoso (MA)","MA","4","7.711","51,9"
"Jaraguá do Sul (SC)","SC","73","140.750","51,9"
"São Patrício (GO)","GO","1","1.929","51,8"
